#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-31 02:11:38;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.50000e+07;2.99345e-01;9.60727e-03;2.99191e-01
1.60000e+07;3.23227e-01;9.80120e-03;3.23078e-01
1.70000e+07;3.46812e-01;9.99775e-03;3.46668e-01
1.80000e+07;3.70191e-01;1.01936e-02;3.70050e-01
1.90000e+07;3.93422e-01;1.03879e-02;3.93285e-01
2.00000e+07;4.16549e-01;1.05810e-02;4.16414e-01
2.10000e+07;4.39603e-01;1.07733e-02;4.39471e-01
2.20000e+07;4.62609e-01;1.09655e-02;4.62479e-01
2.30000e+07;4.85587e-01;1.11581e-02;4.85459e-01
2.40000e+07;5.08554e-01;1.13518e-02;5.08428e-01
2.50000e+07;5.31524e-01;1.15472e-02;5.31399e-01
2.60000e+07;5.54510e-01;1.17447e-02;5.54385e-01
2.70000e+07;5.77521e-01;1.19450e-02;5.77398e-01
2.80000e+07;6.00569e-01;1.21485e-02;6.00446e-01
2.90000e+07;6.23662e-01;1.23556e-02;6.23539e-01
3.00000e+07;6.46808e-01;1.25670e-02;6.46686e-01
3.10000e+07;6.70016e-01;1.27830e-02;6.69894e-01
3.20000e+07;6.93294e-01;1.30041e-02;6.93172e-01
3.30000e+07;7.16649e-01;1.32307e-02;7.16527e-01
3.40000e+07;7.40088e-01;1.34635e-02;7.39965e-01
3.50000e+07;7.63619e-01;1.37029e-02;7.63496e-01
3.60000e+07;7.87248e-01;1.39494e-02;7.87124e-01
3.70000e+07;8.10983e-01;1.42036e-02;8.10859e-01
3.80000e+07;8.34832e-01;1.44659e-02;8.34706e-01
3.90000e+07;8.58801e-01;1.47371e-02;8.58674e-01
4.00000e+07;8.82898e-01;1.50177e-02;8.82770e-01
4.10000e+07;9.07131e-01;1.53084e-02;9.07002e-01
4.20000e+07;9.31508e-01;1.56098e-02;9.31377e-01
4.30000e+07;9.56037e-01;1.59228e-02;9.55904e-01
4.40000e+07;9.80726e-01;1.62480e-02;9.80592e-01
4.50000e+07;1.00559e+00;1.65864e-02;1.00545e+00
4.60000e+07;1.03062e+00;1.69387e-02;1.03048e+00
4.70000e+07;1.05585e+00;1.73061e-02;1.05571e+00
4.80000e+07;1.08127e+00;1.76894e-02;1.08113e+00
4.90000e+07;1.10690e+00;1.80898e-02;1.10676e+00
