#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-31 02:11:38;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
1.00000e+06;2.96887e-01;7.75679e-03;-2.96786e-01
1.10000e+06;2.66270e-01;7.79294e-03;-2.66156e-01
1.20000e+06;2.40445e-01;7.82781e-03;-2.40318e-01
1.30000e+06;2.18306e-01;7.86146e-03;-2.18165e-01
1.40000e+06;1.99064e-01;7.89396e-03;-1.98907e-01
1.50000e+06;1.82138e-01;7.92540e-03;-1.81966e-01
1.60000e+06;1.67096e-01;7.95583e-03;-1.66907e-01
1.70000e+06;1.53605e-01;7.98532e-03;-1.53397e-01
1.80000e+06;1.41407e-01;8.01393e-03;-1.41179e-01
1.90000e+06;1.30297e-01;8.04173e-03;-1.30049e-01
2.00000e+06;1.20113e-01;8.06875e-03;-1.19842e-01
2.10000e+06;1.10724e-01;8.09506e-03;-1.10427e-01
2.20000e+06;1.02020e-01;8.12069e-03;-1.01696e-01
2.30000e+06;9.39131e-02;8.14570e-03;-9.35591e-02
2.40000e+06;8.63295e-02;8.17013e-03;-8.59420e-02
2.50000e+06;7.92070e-02;8.19401e-03;-7.87821e-02
2.60000e+06;7.24935e-02;8.21739e-03;-7.20263e-02
2.70000e+06;6.61448e-02;8.24032e-03;-6.56295e-02
2.80000e+06;6.01235e-02;8.26282e-03;-5.95530e-02
2.90000e+06;5.43979e-02;8.28495e-03;-5.37633e-02
3.00000e+06;4.89416e-02;8.30674e-03;-4.82315e-02
3.10000e+06;4.37326e-02;8.32824e-03;-4.29322e-02
3.20000e+06;3.87536e-02;8.34949e-03;-3.78434e-02
3.30000e+06;3.39923e-02;8.37054e-03;-3.29456e-02
3.40000e+06;2.94426e-02;8.39143e-03;-2.82215e-02
3.50000e+06;2.51071e-02;8.41223e-03;-2.36558e-02
3.60000e+06;2.10024e-02;8.43299e-03;-1.92350e-02
3.70000e+06;1.71719e-02;8.45377e-03;-1.49469e-02
3.80000e+06;1.37127e-02;8.47464e-03;-1.07805e-02
3.90000e+06;1.08358e-02;8.49568e-03;-6.72594e-03
4.00000e+06;8.95746e-03;8.51698e-03;-2.77437e-03
4.10000e+06;8.60693e-03;8.53861e-03;1.08230e-03
4.20000e+06;9.83982e-03;8.56070e-03;4.85143e-03
4.30000e+06;1.21079e-02;8.58336e-03;8.53976e-03
4.40000e+06;1.48923e-02;8.60671e-03;1.21534e-02
4.50000e+06;1.79144e-02;8.63092e-03;1.56982e-02
4.60000e+06;2.10421e-02;8.65614e-03;1.91792e-02
4.70000e+06;2.42117e-02;8.68258e-03;2.26013e-02
4.80000e+06;2.73911e-02;8.71046e-03;2.59692e-02
4.90000e+06;3.05634e-02;8.74002e-03;2.92870e-02
5.00000e+06;3.37197e-02;8.77158e-03;3.25588e-02
5.10000e+06;3.68557e-02;8.80546e-03;3.57883e-02
5.20000e+06;3.99695e-02;8.84206e-03;3.89792e-02
5.30000e+06;4.30608e-02;8.88183e-03;4.21349e-02
5.40000e+06;4.61303e-02;8.92532e-03;4.52587e-02
5.50000e+06;4.91793e-02;8.97314e-03;4.83538e-02
5.60000e+06;5.22096e-02;9.02603e-03;5.14234e-02
5.70000e+06;5.52231e-02;9.08486e-03;5.44707e-02
5.80000e+06;5.82221e-02;9.15065e-03;5.74985e-02
5.90000e+06;6.12092e-02;9.22461e-03;6.05101e-02
6.00000e+06;6.41871e-02;9.30819e-03;6.35086e-02
6.10000e+06;6.71585e-02;9.40314e-03;6.64969e-02
6.20000e+06;7.01264e-02;9.51152e-03;6.94784e-02
6.30000e+06;7.30941e-02;9.63586e-03;7.24562e-02
6.40000e+06;7.60649e-02;9.77920e-03;7.54336e-02
6.50000e+06;7.90422e-02;9.94523e-03;7.84141e-02
6.60000e+06;8.20299e-02;1.01385e-02;8.14009e-02
6.70000e+06;8.50316e-02;1.03644e-02;8.43976e-02
6.80000e+06;8.80512e-02;1.06299e-02;8.74072e-02
6.90000e+06;9.10926e-02;1.09432e-02;9.04329e-02
7.00000e+06;9.41593e-02;1.13145e-02;9.34770e-02
7.10000e+06;9.72542e-02;1.17565e-02;9.65410e-02
7.20000e+06;1.00379e-01;1.22845e-02;9.96245e-02
7.30000e+06;1.03534e-01;1.29172e-02;1.02725e-01
7.40000e+06;1.06714e-01;1.36770e-02;1.05834e-01
7.50000e+06;1.09913e-01;1.45899e-02;1.08940e-01
7.60000e+06;1.13113e-01;1.56851e-02;1.12020e-01
7.70000e+06;1.16287e-01;1.69929e-02;1.15038e-01
7.80000e+06;1.19391e-01;1.85403e-02;1.17943e-01
7.90000e+06;1.22364e-01;2.03437e-02;1.20661e-01
8.00000e+06;1.25119e-01;2.23964e-02;1.23098e-01
8.10000e+06;1.27552e-01;2.46533e-02;1.25147e-01
8.20000e+06;1.29552e-01;2.70162e-02;1.26704e-01
8.30000e+06;1.31025e-01;2.93298e-02;1.27700e-01
8.40000e+06;1.31929e-01;3.14006e-02;1.28138e-01
8.50000e+06;1.32307e-01;3.30408e-02;1.28115e-01
8.60000e+06;1.32284e-01;3.41243e-02;1.27807e-01
8.70000e+06;1.32042e-01;3.46224e-02;1.27422e-01
8.80000e+06;1.31764e-01;3.45988e-02;1.27140e-01
8.90000e+06;1.31584e-01;3.41688e-02;1.27070e-01
9.00000e+06;1.31577e-01;3.34488e-02;1.27254e-01
9.10000e+06;1.31766e-01;3.25231e-02;1.27689e-01
9.20000e+06;1.32165e-01;3.14417e-02;1.28371e-01
9.30000e+06;1.32798e-01;3.02470e-02;1.29307e-01
9.40000e+06;1.33693e-01;2.89989e-02;1.30510e-01
9.50000e+06;1.34853e-01;2.77691e-02;1.31963e-01
9.60000e+06;1.36242e-01;2.66126e-02;1.33617e-01
9.70000e+06;1.37807e-01;2.55517e-02;1.35417e-01
9.80000e+06;1.39499e-01;2.45843e-02;1.37316e-01
9.90000e+06;1.41286e-01;2.36978e-02;1.39284e-01
1.00000e+07;1.43145e-01;2.28796e-02;1.41305e-01
1.10000e+07;1.63951e-01;1.74370e-02;1.63021e-01
1.20000e+07;1.85573e-01;1.51417e-02;1.84954e-01
1.30000e+07;2.06654e-01;1.40989e-02;2.06172e-01
1.40000e+07;2.27213e-01;1.35697e-02;2.26807e-01
1.50000e+07;2.47380e-01;1.32869e-02;2.47023e-01
1.60000e+07;2.67258e-01;1.31381e-02;2.66935e-01
1.70000e+07;2.86917e-01;1.30696e-02;2.86620e-01
1.80000e+07;3.06409e-01;1.30526e-02;3.06131e-01
1.90000e+07;3.25771e-01;1.30707e-02;3.25509e-01
2.00000e+07;3.45033e-01;1.31138e-02;3.44783e-01
2.10000e+07;3.64216e-01;1.31756e-02;3.63977e-01
2.20000e+07;3.83338e-01;1.32518e-02;3.83109e-01
2.30000e+07;4.02416e-01;1.33395e-02;4.02195e-01
2.40000e+07;4.21461e-01;1.34368e-02;4.21247e-01
2.50000e+07;4.40484e-01;1.35423e-02;4.40275e-01
2.60000e+07;4.59493e-01;1.36549e-02;4.59290e-01
2.70000e+07;4.78498e-01;1.37740e-02;4.78299e-01
2.80000e+07;4.97504e-01;1.38990e-02;4.97310e-01
2.90000e+07;5.16520e-01;1.40297e-02;5.16329e-01
3.00000e+07;5.35549e-01;1.41658e-02;5.35362e-01
3.10000e+07;5.54599e-01;1.43072e-02;5.54415e-01
3.20000e+07;5.73674e-01;1.44539e-02;5.73492e-01
3.30000e+07;5.92779e-01;1.46058e-02;5.92599e-01
3.40000e+07;6.11919e-01;1.47630e-02;6.11741e-01
3.50000e+07;6.31098e-01;1.49257e-02;6.30922e-01
3.60000e+07;6.50321e-01;1.50940e-02;6.50146e-01
3.70000e+07;6.69592e-01;1.52680e-02;6.69417e-01
3.80000e+07;6.88914e-01;1.54480e-02;6.88741e-01
3.90000e+07;7.08294e-01;1.56342e-02;7.08121e-01
4.00000e+07;7.27734e-01;1.58269e-02;7.27562e-01
4.10000e+07;7.47239e-01;1.60264e-02;7.47067e-01
4.20000e+07;7.66814e-01;1.62330e-02;7.66642e-01
4.30000e+07;7.86462e-01;1.64471e-02;7.86290e-01
4.40000e+07;8.06189e-01;1.66691e-02;8.06017e-01
4.50000e+07;8.25999e-01;1.68994e-02;8.25826e-01
4.60000e+07;8.45898e-01;1.71384e-02;8.45724e-01
4.70000e+07;8.65889e-01;1.73868e-02;8.65714e-01
4.80000e+07;8.85978e-01;1.76449e-02;8.85802e-01
4.90000e+07;9.06171e-01;1.79135e-02;9.05994e-01
5.00000e+07;9.26474e-01;1.81931e-02;9.26295e-01
5.10000e+07;9.46891e-01;1.84844e-02;9.46711e-01
5.20000e+07;9.67430e-01;1.87882e-02;9.67248e-01
5.30000e+07;9.88097e-01;1.91053e-02;9.87913e-01
5.40000e+07;1.00890e+00;1.94365e-02;1.00871e+00
5.50000e+07;1.02984e+00;1.97828e-02;1.02965e+00
5.60000e+07;1.05094e+00;2.01452e-02;1.05074e+00
5.70000e+07;1.07219e+00;2.05249e-02;1.07199e+00
5.80000e+07;1.09361e+00;2.09230e-02;1.09341e+00
5.90000e+07;1.11520e+00;2.13409e-02;1.11500e+00
6.00000e+07;1.13698e+00;2.17801e-02;1.13677e+00
6.10000e+07;1.15896e+00;2.22421e-02;1.15875e+00
6.20000e+07;1.18114e+00;2.27286e-02;1.18093e+00
6.30000e+07;1.20355e+00;2.32417e-02;1.20332e+00
6.40000e+07;1.22619e+00;2.37834e-02;1.22595e+00
6.50000e+07;1.24907e+00;2.43560e-02;1.24883e+00
6.60000e+07;1.27221e+00;2.49621e-02;1.27197e+00
6.70000e+07;1.29564e+00;2.56046e-02;1.29538e+00
6.80000e+07;1.31936e+00;2.62865e-02;1.31909e+00
6.90000e+07;1.34339e+00;2.70115e-02;1.34312e+00
7.00000e+07;1.36776e+00;2.77834e-02;1.36747e+00
7.10000e+07;1.39248e+00;2.86065e-02;1.39219e+00
7.20000e+07;1.41759e+00;2.94858e-02;1.41729e+00
7.30000e+07;1.44311e+00;3.04268e-02;1.44279e+00
7.40000e+07;1.46907e+00;3.14356e-02;1.46873e+00
7.50000e+07;1.49550e+00;3.25191e-02;1.49515e+00
7.60000e+07;1.52244e+00;3.36854e-02;1.52206e+00
7.70000e+07;1.54992e+00;3.49434e-02;1.54953e+00
7.80000e+07;1.57800e+00;3.63033e-02;1.57758e+00
7.90000e+07;1.60671e+00;3.77769e-02;1.60627e+00
8.00000e+07;1.63612e+00;3.93776e-02;1.63565e+00
8.10000e+07;1.66629e+00;4.11208e-02;1.66578e+00
8.20000e+07;1.69727e+00;4.30247e-02;1.69673e+00
8.30000e+07;1.72916e+00;4.51100e-02;1.72857e+00
8.40000e+07;1.76203e+00;4.74011e-02;1.76139e+00
8.50000e+07;1.79599e+00;4.99268e-02;1.79529e+00
8.60000e+07;1.83114e+00;5.27208e-02;1.83038e+00
8.70000e+07;1.86762e+00;5.58232e-02;1.86679e+00
