iteration,state,rewards,count
1379,[0 1 1 1 0 1 0 1 1 1 1 1],"{0: '2.5', 1: '2.5'}",38
1395,[0 1 0 0 1 1 1 1 0 0 0 1],"{0: '5.0', 1: '5.0'}",16
1403,[0 1 1 0 0 1 0 0 1 1 0 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",8
1422,[0 0 0 0 1 1 1 0 0 1 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",19
1478,[1 0 0 1 1 1 0 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",56
1547,[1 0 1 0 0 1 0 1 0 1 0 1],"{0: '5.0', 1: '5.0'}",69
1563,[0 1 0 1 0 1 0 1 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",16
1605,[0 0 0 0 1 1 1 0 1 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",42
1678,[1 1 0 0 1 1 1 1 1 1 1 1],"{0: '1.6666666666666665', 1: '1.6666666666666665'}",73
1741,[1 1 1 1 1 1 1 0 0 0 0 1],"{0: '3.338568935427574', 1: '3.333333333333333'}",63
1765,[0 1 1 0 0 1 0 0 0 0 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",24
1801,[0 1 1 1 0 1 0 1 0 1 0 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",36
1829,[0 1 1 0 0 1 1 0 1 0 0 0],"{0: '5.854275741710297', 1: '5.833333333333334'}",28
1850,[1 0 1 0 0 1 0 0 0 0 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",21
1863,[0 0 1 1 0 1 0 1 0 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",13
1868,[0 0 1 0 0 1 1 1 0 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",5
1903,[1 0 0 1 0 1 0 1 0 1 1 1],"{0: '4.166666666666667', 1: '4.166666666666667'}",35
1914,[0 0 1 0 0 1 0 0 0 1 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",11
1984,[1 0 0 0 1 1 0 1 1 1 1 1],"{0: '3.333333333333333', 1: '3.333333333333333'}",70
2029,[0 0 1 1 0 1 0 1 1 1 1 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",45
2083,[1 1 1 1 0 1 1 1 0 0 1 1],"{0: '2.505235602094241', 1: '2.5'}",54
2124,[0 0 0 0 1 1 0 0 0 0 1 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",41
2142,[0 1 0 0 1 1 0 1 0 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",18
2203,[1 1 0 0 1 1 0 1 0 0 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",61
2220,[0 0 0 0 0 1 0 1 1 1 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",17
2230,[1 1 1 0 0 1 0 0 0 1 0 0],"{0: '5.86998254799302', 1: '5.833333333333334'}",10
2286,[0 0 0 0 0 1 1 0 0 1 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",56
2308,[1 1 1 0 1 1 0 0 0 0 0 1],"{0: '5.005235602094241', 1: '5.0'}",22
2334,[0 1 1 0 1 1 0 0 0 0 1 1],"{0: '5.0', 1: '5.0'}",26
2340,[0 0 0 0 1 1 0 1 1 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",6
2364,[1 0 0 1 0 1 0 1 1 0 0 1],"{0: '5.0', 1: '5.0'}",24
2388,[0 0 0 0 1 1 0 1 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",24
2413,[1 0 1 0 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",25
2447,[0 0 1 0 1 1 1 0 0 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",34
2476,[0 1 0 0 0 1 0 1 1 0 0 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",29
2488,[0 0 0 1 0 1 0 1 1 0 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",12
2532,[1 1 1 0 1 1 0 0 1 1 1 1],"{0: '2.5', 1: '2.5'}",44
2602,[1 1 1 1 1 1 0 1 0 0 1 1],"{0: '2.505235602094241', 1: '2.5'}",70
2652,[1 0 1 0 0 1 0 1 0 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",50
2686,[0 1 1 1 0 1 0 0 1 0 0 1],"{0: '5.0', 1: '5.0'}",34
2696,[0 0 0 1 0 1 0 0 1 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
2706,[0 0 0 0 0 1 1 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
2746,[1 1 1 1 0 1 0 1 1 0 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",40
2757,[1 1 0 0 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",11
2781,[1 0 1 0 0 1 0 0 0 0 0 1],"{0: '6.703315881326352', 1: '6.666666666666666'}",24
2810,[0 0 1 1 1 1 0 0 0 1 0 1],"{0: '5.0', 1: '5.0'}",29
2835,[1 0 0 0 1 1 1 0 0 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",25
2844,[0 0 0 1 0 1 1 0 1 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",9
2872,[0 1 1 0 0 1 0 1 0 0 0 1],"{0: '5.843804537521816', 1: '5.833333333333334'}",28
2886,[0 1 0 1 0 1 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",14
2889,[1 0 1 0 0 1 0 1 1 0 0 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",3
2892,[1 0 1 0 0 1 0 0 0 0 1 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",3
2913,[1 0 0 0 1 0 1 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",21
2929,[1 0 0 0 0 1 1 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",16
2972,[1 0 1 0 0 1 0 0 0 1 1 1],"{0: '5.005235602094241', 1: '5.0'}",43
2980,[1 1 0 0 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",8
3005,[1 1 1 0 0 1 0 0 0 0 0 1],"{0: '5.86998254799302', 1: '5.833333333333334'}",25
3019,[1 0 0 1 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",14
3036,[0 0 0 0 0 1 1 1 1 0 0 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",17
