iteration,state,rewards,count
720,[2 0 1 2 0 0 0 2],"{0: '1.25', 1: '1.25'}",25
782,[0 2 1 1 2 2 1 2],"{0: '-3.75', 1: '-3.75'}",62
785,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",3
797,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",12
827,[0 1 1 2 2 0 0 2],"{0: '0.0', 1: '0.0'}",30
851,[0 2 1 1 0 1 0 1],"{0: '2.5', 1: '2.5'}",24
854,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
861,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",7
863,[0 0 1 0 0 1 2 0],"{0: '5.0', 1: '5.0'}",2
877,[2 0 1 0 2 0 1 0],"{0: '2.5', 1: '2.5'}",14
885,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",8
928,[0 2 1 1 0 2 2 0],"{0: '0.0', 1: '0.0'}",43
951,[0 2 1 2 0 0 2 2],"{0: '-1.25', 1: '-1.25'}",23
973,[0 0 1 0 0 2 1 1],"{0: '3.75', 1: '3.75'}",22
1009,[1 1 1 0 0 2 2 0],"{0: '1.25', 1: '1.25'}",36
1034,[2 2 1 0 0 2 1 0],"{0: '0.0', 1: '0.0'}",25
1048,[0 1 1 0 0 1 0 0],"{0: '6.25', 1: '6.25'}",14
1050,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",2
1055,[0 1 1 0 0 1 0 0],"{0: '6.25', 1: '6.25'}",5
1091,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",36
1127,[1 2 1 0 1 2 2 2],"{0: '-3.75', 1: '-3.75'}",36
1151,[2 1 2 0 2 0 0 0],"{0: '1.25', 1: '1.25'}",24
1237,[2 2 1 2 2 2 2 1],"{0: '-7.5', 1: '-7.5'}",86
1266,[0 0 1 0 0 1 1 0],"{0: '6.25', 1: '6.25'}",29
1329,[0 2 1 2 1 2 2 2],"{0: '-5.0', 1: '-5.0'}",63
1368,[1 2 1 0 0 1 2 2],"{0: '-1.25', 1: '-1.25'}",39
1376,[0 1 1 2 0 0 0 0],"{0: '5.0', 1: '5.0'}",8
1532,[0 2 1 1 1 2 1 1],"{0: '-1.25', 1: '-1.25'}",156
1553,[0 2 1 2 0 2 0 1],"{0: '0.0', 1: '0.0'}",21
1555,[2 0 1 0 2 0 0 0],"{0: '3.75', 1: '3.75'}",2
1568,[0 0 1 0 2 1 0 1],"{0: '3.75', 1: '3.75'}",13
1586,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",18
1674,[0 1 1 1 2 1 2 0],"{0: '0.0', 1: '0.0'}",88
1729,[2 0 1 1 1 1 1 2],"{0: '-1.25', 1: '-1.25'}",55
1752,[0 1 1 1 0 0 0 1],"{0: '5.0', 1: '5.0'}",23
1762,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",10
1774,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",12
1791,[0 0 1 0 2 2 0 0],"{0: '3.75', 1: '3.75'}",17
1798,[0 0 1 2 1 0 0 0],"{0: '5.0', 1: '5.0'}",7
1812,[0 2 1 1 0 0 0 0],"{0: '5.0', 1: '5.0'}",14
1822,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",10
1843,[0 2 1 1 2 0 0 1],"{0: '1.25', 1: '1.25'}",21
1845,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",2
1853,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",8
1861,[1 1 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",8
1905,[1 0 1 2 0 1 1 0],"{0: '2.5', 1: '2.5'}",44
1925,[2 0 1 0 0 0 0 1],"{0: '5.0', 1: '5.0'}",20
1932,[0 2 1 0 0 1 0 0],"{0: '5.0', 1: '5.0'}",7
1939,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",7
1965,[0 2 1 0 2 0 2 0],"{0: '1.25', 1: '1.25'}",26
1970,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",5
2032,[0 2 1 2 1 0 0 2],"{0: '0.0', 1: '0.0'}",62
2038,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",6
2043,[1 1 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",5
2058,[0 0 1 2 1 0 0 0],"{0: '5.0', 1: '5.0'}",15
2062,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
2064,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",2
