iteration,state,rewards,count
1237,[1 0 1 0 1 1 1 1 1 1 1 0],"{0: '2.505235602094241', 1: '2.5'}",75
1250,[1 0 0 1 1 0 0 0 0 0 0 1],"{0: '6.708551483420592', 1: '6.666666666666666'}",13
1260,[1 1 0 0 0 0 1 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
1291,[1 1 0 0 1 0 0 1 0 0 1 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",31
1411,[1 1 1 1 1 0 1 1 1 1 1 1],"{0: '0.838568935427574', 1: '0.8333333333333333'}",120
1446,[1 0 0 0 0 0 1 0 1 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",35
1489,[1 1 1 0 0 1 1 0 1 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",43
1542,[1 1 0 1 1 0 1 0 0 1 0 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",53
1648,[1 1 1 1 1 1 0 1 1 1 1 1],"{0: '0.838568935427574', 1: '0.8333333333333333'}",106
1690,[1 1 0 1 0 0 1 1 0 1 0 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",42
1702,[1 0 0 0 0 1 0 0 1 0 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",12
1721,[1 0 1 0 1 0 0 0 0 1 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",19
1754,[1 0 1 1 0 0 1 1 0 0 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",33
1782,[1 0 1 0 0 0 0 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",28
1805,[1 0 0 0 1 1 0 1 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",23
1819,[1 0 0 0 0 0 1 0 0 0 1 1],"{0: '6.698080279232111', 1: '6.666666666666666'}",14
1828,[1 1 0 0 0 1 0 0 1 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",9
1891,[1 0 1 0 0 1 1 1 1 1 1 0],"{0: '3.338568935427574', 1: '3.333333333333333'}",63
1893,[1 0 0 0 0 1 0 1 0 0 0 1],"{0: '6.703315881326352', 1: '6.666666666666666'}",2
1908,[1 0 0 0 0 0 1 0 0 0 1 1],"{0: '6.698080279232111', 1: '6.666666666666666'}",15
1933,[1 0 0 0 1 0 0 1 1 0 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",25
1945,[1 0 0 0 1 1 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",12
2014,[1 1 1 0 0 0 1 1 1 1 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",69
2053,[1 0 0 0 1 0 1 0 0 0 0 1],"{0: '6.708551483420592', 1: '6.666666666666666'}",39
2068,[1 0 0 0 0 0 1 1 0 1 0 1],"{0: '5.859511343804538', 1: '5.833333333333334'}",15
2101,[1 0 0 0 0 1 1 0 0 0 1 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",33
2117,[1 1 0 0 1 0 0 1 1 0 0 1],"{0: '5.005235602094241', 1: '5.0'}",16
2151,[1 0 1 0 0 0 1 1 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",34
2154,[1 0 0 1 0 1 0 1 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",3
2207,[1 1 1 1 1 0 1 0 1 0 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",53
2233,[1 0 0 0 0 0 1 0 1 1 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",26
2252,[1 0 1 0 0 1 1 0 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",19
2268,[1 1 0 0 0 1 0 0 0 0 0 1],"{0: '6.703315881326352', 1: '6.666666666666666'}",16
2303,[1 0 0 1 1 0 0 1 0 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",35
2321,[1 0 1 1 1 0 0 0 0 0 1 1],"{0: '5.005235602094241', 1: '5.0'}",18
2358,[1 0 0 0 1 0 0 0 1 1 0 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",37
2400,[1 1 1 0 1 0 0 0 0 1 0 0],"{0: '5.864746945898779', 1: '5.833333333333334'}",42
2412,[1 0 0 0 0 1 1 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",12
2468,[1 1 1 0 0 1 0 0 1 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",56
2499,[1 1 1 0 1 1 0 0 0 0 0 1],"{0: '5.005235602094241', 1: '5.0'}",31
