iteration,state,rewards,count
181,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
187,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
194,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",7
210,[1 0 0 1 0 0 0 0 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",16
221,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",11
253,[1 0 0 1 1 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",32
256,[1 0 0 0 0 0 0 0 1 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
257,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
262,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
276,[1 0 0 1 0 0 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",14
278,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
290,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",12
292,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
297,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
304,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",7
309,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
317,[1 0 1 1 0 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",8
320,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
321,[0 0 0 0 0 0 0 0 0 0 1 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
341,[1 0 0 1 0 0 0 0 0 0 0 1],"{0: '7.505235602094241', 1: '7.5'}",20
349,[1 1 0 1 0 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",8
351,[1 0 0 1 0 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
362,[1 0 0 1 1 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",11
370,[1 1 0 1 0 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",8
372,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
377,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
379,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
384,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
401,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",17
402,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
406,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
410,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
422,[1 0 0 1 0 0 1 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",12
427,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
429,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
437,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",8
454,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",17
468,[1 0 0 1 0 0 0 0 0 1 0 0],"{0: '7.505235602094241', 1: '7.5'}",14
478,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",10
479,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
481,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
483,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
487,[1 0 0 0 0 0 0 1 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",4
492,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
496,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
497,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
510,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",13
512,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
515,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
521,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
522,[0 0 0 0 0 0 0 1 1 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
523,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
524,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
527,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
528,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
534,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
538,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
540,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
555,[1 0 0 1 0 0 0 0 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",15
558,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
578,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",20
580,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
581,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
591,[1 0 0 0 0 0 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",10
600,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",9
603,[1 0 1 0 0 1 0 0 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",3
604,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
610,[1 1 0 0 0 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",6
616,[1 0 0 1 0 0 0 0 0 1 0 0],"{0: '7.505235602094241', 1: '7.5'}",6
619,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
623,[1 1 0 0 0 0 0 0 0 1 0 0],"{0: '7.510471204188482', 1: '7.5'}",4
626,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
632,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
638,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
642,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
645,[1 0 0 1 0 0 0 0 0 1 0 0],"{0: '7.510471204188482', 1: '7.5'}",3
648,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
649,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
651,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
652,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
658,[1 0 0 1 0 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",6
670,[1 0 1 1 0 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",12
673,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
684,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",11
695,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",11
696,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
709,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",13
722,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",13
726,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
731,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
736,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",5
746,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",10
747,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
754,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",7
761,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",7
765,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
773,[1 0 0 1 0 0 1 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",8
779,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
782,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
796,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",14
798,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
799,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
805,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",6
812,[1 0 0 1 0 1 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",7
824,[1 0 1 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",12
828,[1 0 1 1 0 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",4
1,[0 0 1 0 0 1 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
2,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
4,[1 0 1 0 1 0 0 0 0 0 0 0],"{0: '7.507380073800738', 1: '7.5'}",2
7,[0 1 0 0 1 1 0 0 0 1 0 0],"{0: '6.674046740467404', 1: '6.666666666666666'}",3
