#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-15 09:21:45;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
1.40000e+07;3.34364e-01;1.08058e-02;3.34189e-01
1.50000e+07;3.66830e-01;1.10962e-02;3.66662e-01
1.60000e+07;3.99058e-01;1.13964e-02;3.98895e-01
1.70000e+07;4.31151e-01;1.17079e-02;4.30992e-01
1.80000e+07;4.63197e-01;1.20325e-02;4.63040e-01
1.90000e+07;4.95267e-01;1.23718e-02;4.95112e-01
2.00000e+07;5.27427e-01;1.27276e-02;5.27274e-01
2.10000e+07;5.59737e-01;1.31021e-02;5.59583e-01
2.20000e+07;5.92249e-01;1.34971e-02;5.92095e-01
2.30000e+07;6.25017e-01;1.39152e-02;6.24862e-01
2.40000e+07;6.58091e-01;1.43587e-02;6.57934e-01
2.50000e+07;6.91519e-01;1.48303e-02;6.91360e-01
2.60000e+07;7.25353e-01;1.53332e-02;7.25191e-01
2.70000e+07;7.59643e-01;1.58705e-02;7.59477e-01
2.80000e+07;7.94441e-01;1.64460e-02;7.94271e-01
2.90000e+07;8.29804e-01;1.70638e-02;8.29628e-01
3.00000e+07;8.65787e-01;1.77285e-02;8.65606e-01
3.10000e+07;9.02455e-01;1.84453e-02;9.02266e-01
3.20000e+07;9.39872e-01;1.92200e-02;9.39676e-01
3.30000e+07;9.78111e-01;2.00591e-02;9.77905e-01
3.40000e+07;1.01725e+00;2.09702e-02;1.01703e+00
3.50000e+07;1.05737e+00;2.19618e-02;1.05714e+00
3.60000e+07;1.09857e+00;2.30436e-02;1.09833e+00
3.70000e+07;1.14095e+00;2.42268e-02;1.14069e+00
3.80000e+07;1.18462e+00;2.55244e-02;1.18435e+00
3.90000e+07;1.22972e+00;2.69511e-02;1.22942e+00
4.00000e+07;1.27638e+00;2.85244e-02;1.27606e+00
4.10000e+07;1.32476e+00;3.02646e-02;1.32441e+00
4.20000e+07;1.37504e+00;3.21953e-02;1.37466e+00
4.30000e+07;1.42743e+00;3.43447e-02;1.42702e+00
4.40000e+07;1.48216e+00;3.67459e-02;1.48170e+00
4.50000e+07;1.53949e+00;3.94387e-02;1.53898e+00
4.60000e+07;1.59973e+00;4.24706e-02;1.59917e+00
4.70000e+07;1.66323e+00;4.58991e-02;1.66260e+00
4.80000e+07;1.73042e+00;4.97940e-02;1.72970e+00
4.90000e+07;1.80176e+00;5.42411e-02;1.80094e+00
5.00000e+07;1.87782e+00;5.93464e-02;1.87688e+00
5.10000e+07;1.95929e+00;6.52420e-02;1.95821e+00
5.20000e+07;2.04698e+00;7.20943e-02;2.04571e+00
5.30000e+07;2.14185e+00;8.01152e-02;2.14035e+00
5.40000e+07;2.24510e+00;8.95779e-02;2.24332e+00
5.50000e+07;2.35821e+00;1.00838e-01;2.35605e+00
5.60000e+07;2.48299e+00;1.14369e-01;2.48035e+00
5.70000e+07;2.62176e+00;1.30803e-01;2.61849e+00
5.80000e+07;2.77746e+00;1.51012e-01;2.77336e+00
5.90000e+07;2.95396e+00;1.76212e-01;2.94870e+00
6.00000e+07;3.15633e+00;2.08143e-01;3.14946e+00
6.10000e+07;3.39147e+00;2.49365e-01;3.38229e+00
6.20000e+07;3.66894e+00;3.03761e-01;3.65634e+00
6.30000e+07;4.00237e+00;3.77440e-01;3.98454e+00
6.40000e+07;4.41188e+00;4.80441e-01;4.38564e+00
6.50000e+07;4.92835e+00;6.30153e-01;4.88790e+00
6.60000e+07;5.60159e+00;8.58711e-01;5.53538e+00
6.70000e+07;6.51686e+00;1.23050e+00;6.39964e+00
6.80000e+07;7.83119e+00;1.88850e+00;7.60007e+00
6.90000e+07;9.85936e+00;3.19433e+00;9.32755e+00
7.00000e+07;1.32763e+01;6.20755e+00;1.17357e+01
7.10000e+07;1.92328e+01;1.40255e+01;1.31601e+01
7.20000e+07;2.43260e+01;2.42744e+01;1.58325e+00
7.30000e+07;1.81295e+01;1.46630e+01;-1.06620e+01
7.40000e+07;1.17037e+01;6.68314e+00;-9.60798e+00
7.50000e+07;8.11666e+00;3.53685e+00;-7.30554e+00
7.60000e+07;6.01541e+00;2.15187e+00;-5.61735e+00
7.70000e+07;4.66422e+00;1.44360e+00;-4.43520e+00
7.80000e+07;3.72806e+00;1.03748e+00;-3.58080e+00
7.90000e+07;3.04195e+00;7.84113e-01;-2.93916e+00
8.00000e+07;2.51706e+00;6.15683e-01;-2.44060e+00
8.10000e+07;2.10180e+00;4.98082e-01;-2.04193e+00
8.20000e+07;1.76434e+00;4.12713e-01;-1.71539e+00
8.30000e+07;1.48402e+00;3.48757e-01;-1.44246e+00
8.40000e+07;1.24690e+00;2.99579e-01;-1.21038e+00
