#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-10 10:59:50;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.00000e+06;7.53623e-01;6.92296e-03;-7.53592e-01
1.10000e+06;6.79717e-01;6.96046e-03;-6.79681e-01
1.20000e+06;6.17666e-01;6.99957e-03;-6.17626e-01
1.30000e+06;5.64734e-01;7.03963e-03;-5.64690e-01
1.40000e+06;5.18968e-01;7.08019e-03;-5.18920e-01
1.50000e+06;4.78935e-01;7.12094e-03;-4.78882e-01
1.60000e+06;4.43560e-01;7.16169e-03;-4.43502e-01
1.70000e+06;4.12021e-01;7.20229e-03;-4.11958e-01
1.80000e+06;3.83679e-01;7.24265e-03;-3.83610e-01
1.90000e+06;3.58029e-01;7.28270e-03;-3.57955e-01
2.00000e+06;3.34668e-01;7.32239e-03;-3.34588e-01
2.10000e+06;3.13268e-01;7.36170e-03;-3.13182e-01
2.20000e+06;2.93564e-01;7.40061e-03;-2.93470e-01
2.30000e+06;2.75332e-01;7.43912e-03;-2.75232e-01
2.40000e+06;2.58390e-01;7.47721e-03;-2.58282e-01
2.50000e+06;2.42583e-01;7.51489e-03;-2.42467e-01
2.60000e+06;2.27780e-01;7.55216e-03;-2.27655e-01
2.70000e+06;2.13869e-01;7.58904e-03;-2.13735e-01
2.80000e+06;2.00756e-01;7.62552e-03;-2.00611e-01
2.90000e+06;1.88357e-01;7.66162e-03;-1.88201e-01
3.00000e+06;1.76602e-01;7.69735e-03;-1.76434e-01
3.10000e+06;1.65428e-01;7.73271e-03;-1.65247e-01
3.20000e+06;1.54782e-01;7.76772e-03;-1.54587e-01
3.30000e+06;1.44614e-01;7.80239e-03;-1.44404e-01
3.40000e+06;1.34885e-01;7.83673e-03;-1.34657e-01
3.50000e+06;1.25556e-01;7.87075e-03;-1.25309e-01
3.60000e+06;1.16594e-01;7.90446e-03;-1.16326e-01
3.70000e+06;1.07971e-01;7.93787e-03;-1.07678e-01
3.80000e+06;9.96594e-02;7.97099e-03;-9.93401e-02
3.90000e+06;9.16374e-02;8.00384e-03;-9.12872e-02
