#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-30 05:35:14;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.50000e+07;2.94429e-01;8.38452e-03;2.94310e-01
1.60000e+07;3.17487e-01;8.53069e-03;3.17372e-01
1.70000e+07;3.40265e-01;8.68645e-03;3.40154e-01
1.80000e+07;3.62848e-01;8.84573e-03;3.62740e-01
1.90000e+07;3.85290e-01;9.00611e-03;3.85185e-01
2.00000e+07;4.07631e-01;9.16666e-03;4.07527e-01
2.10000e+07;4.29898e-01;9.32711e-03;4.29797e-01
2.20000e+07;4.52114e-01;9.48753e-03;4.52015e-01
2.30000e+07;4.74297e-01;9.64810e-03;4.74199e-01
2.40000e+07;4.96462e-01;9.80908e-03;4.96365e-01
2.50000e+07;5.18619e-01;9.97076e-03;5.18523e-01
2.60000e+07;5.40779e-01;1.01334e-02;5.40684e-01
2.70000e+07;5.62952e-01;1.02974e-02;5.62858e-01
2.80000e+07;5.85146e-01;1.04630e-02;5.85053e-01
2.90000e+07;6.07368e-01;1.06305e-02;6.07275e-01
3.00000e+07;6.29624e-01;1.08001e-02;6.29531e-01
3.10000e+07;6.51921e-01;1.09722e-02;6.51829e-01
3.20000e+07;6.74265e-01;1.11471e-02;6.74173e-01
3.30000e+07;6.96661e-01;1.13250e-02;6.96569e-01
3.40000e+07;7.19115e-01;1.15063e-02;7.19023e-01
3.50000e+07;7.41632e-01;1.16912e-02;7.41540e-01
3.60000e+07;7.64218e-01;1.18801e-02;7.64125e-01
3.70000e+07;7.86876e-01;1.20732e-02;7.86784e-01
3.80000e+07;8.09613e-01;1.22709e-02;8.09520e-01
3.90000e+07;8.32434e-01;1.24735e-02;8.32341e-01
4.00000e+07;8.55343e-01;1.26813e-02;8.55249e-01
4.10000e+07;8.78346e-01;1.28947e-02;8.78251e-01
4.20000e+07;9.01447e-01;1.31140e-02;9.01352e-01
4.30000e+07;9.24653e-01;1.33398e-02;9.24557e-01
4.40000e+07;9.47968e-01;1.35722e-02;9.47871e-01
4.50000e+07;9.71398e-01;1.38118e-02;9.71300e-01
4.60000e+07;9.94949e-01;1.40590e-02;9.94850e-01
4.70000e+07;1.01863e+00;1.43143e-02;1.01853e+00
4.80000e+07;1.04244e+00;1.45782e-02;1.04234e+00
4.90000e+07;1.06639e+00;1.48511e-02;1.06628e+00
5.00000e+07;1.09048e+00;1.51337e-02;1.09038e+00
5.10000e+07;1.11473e+00;1.54265e-02;1.11462e+00
5.20000e+07;1.13913e+00;1.57302e-02;1.13902e+00
5.30000e+07;1.16371e+00;1.60453e-02;1.16359e+00
5.40000e+07;1.18845e+00;1.63727e-02;1.18834e+00
5.50000e+07;1.21338e+00;1.67131e-02;1.21326e+00
5.60000e+07;1.23850e+00;1.70673e-02;1.23838e+00
5.70000e+07;1.26382e+00;1.74361e-02;1.26370e+00
5.80000e+07;1.28934e+00;1.78205e-02;1.28922e+00
5.90000e+07;1.31509e+00;1.82214e-02;1.31496e+00
6.00000e+07;1.34106e+00;1.86400e-02;1.34093e+00
6.10000e+07;1.36727e+00;1.90774e-02;1.36714e+00
6.20000e+07;1.39373e+00;1.95347e-02;1.39359e+00
6.30000e+07;1.42045e+00;2.00135e-02;1.42031e+00
6.40000e+07;1.44745e+00;2.05150e-02;1.44730e+00
6.50000e+07;1.47474e+00;2.10408e-02;1.47459e+00
6.60000e+07;1.50232e+00;2.15927e-02;1.50217e+00
