#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-30 05:35:14;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
1.00000e+06;2.44940e-01;6.12241e-03;-2.44863e-01
1.10000e+06;2.19129e-01;6.15943e-03;-2.19042e-01
1.20000e+06;1.97315e-01;6.19497e-03;-1.97218e-01
1.30000e+06;1.78577e-01;6.22913e-03;-1.78469e-01
1.40000e+06;1.62256e-01;6.26202e-03;-1.62135e-01
1.50000e+06;1.47869e-01;6.29373e-03;-1.47735e-01
1.60000e+06;1.35053e-01;6.32436e-03;-1.34905e-01
1.70000e+06;1.23531e-01;6.35398e-03;-1.23367e-01
1.80000e+06;1.13088e-01;6.38266e-03;-1.12908e-01
1.90000e+06;1.03554e-01;6.41047e-03;-1.03355e-01
2.00000e+06;9.47922e-02;6.43747e-03;-9.45734e-02
2.10000e+06;8.66937e-02;6.46371e-03;-8.64524e-02
2.20000e+06;7.91682e-02;6.48925e-03;-7.89018e-02
2.30000e+06;7.21418e-02;6.51412e-03;-7.18471e-02
2.40000e+06;6.55528e-02;6.53838e-03;-6.52259e-02
2.50000e+06;5.93500e-02;6.56207e-03;-5.89861e-02
2.60000e+06;5.34904e-02;6.58523e-03;-5.30835e-02
2.70000e+06;4.79380e-02;6.60791e-03;-4.74804e-02
2.80000e+06;4.26627e-02;6.63014e-03;-4.21444e-02
2.90000e+06;3.76401e-02;6.65196e-03;-3.70477e-02
3.00000e+06;3.28509e-02;6.67342e-03;-3.21659e-02
3.10000e+06;2.82819e-02;6.69456e-03;-2.74782e-02
3.20000e+06;2.39276e-02;6.71541e-03;-2.29659e-02
3.30000e+06;1.97942e-02;6.73604e-03;-1.86128e-02
3.40000e+06;1.59104e-02;6.75648e-03;-1.44045e-02
3.50000e+06;1.23531e-02;6.77678e-03;-1.03283e-02
3.60000e+06;9.31731e-03;6.79701e-03;-6.37283e-03
3.70000e+06;7.27079e-03;6.81721e-03;-2.52784e-03
3.80000e+06;6.94471e-03;6.83746e-03;1.21577e-03
3.90000e+06;8.40892e-03;6.85783e-03;4.86623e-03
4.00000e+06;1.08809e-02;6.87838e-03;8.43098e-03
4.10000e+06;1.37699e-02;6.89922e-03;1.19168e-02
4.20000e+06;1.68195e-02;6.92043e-03;1.53298e-02
4.30000e+06;1.99241e-02;6.94213e-03;1.86756e-02
4.40000e+06;2.30374e-02;6.96443e-03;2.19594e-02
4.50000e+06;2.61373e-02;6.98747e-03;2.51860e-02
4.60000e+06;2.92136e-02;7.01141e-03;2.83597e-02
4.70000e+06;3.22613e-02;7.03643e-03;3.14846e-02
4.80000e+06;3.52788e-02;7.06272e-03;3.45646e-02
4.90000e+06;3.82658e-02;7.09052e-03;3.76031e-02
5.00000e+06;4.12232e-02;7.12010e-03;4.06037e-02
5.10000e+06;4.41524e-02;7.15175e-03;4.35693e-02
5.20000e+06;4.70551e-02;7.18584e-03;4.65031e-02
5.30000e+06;4.99332e-02;7.22277e-03;4.94080e-02
5.40000e+06;5.27888e-02;7.26302e-03;5.22868e-02
5.50000e+06;5.56242e-02;7.30715e-03;5.51421e-02
5.60000e+06;5.84414e-02;7.35582e-03;5.79767e-02
5.70000e+06;6.12429e-02;7.40980e-03;6.07930e-02
5.80000e+06;6.40310e-02;7.47000e-03;6.35938e-02
5.90000e+06;6.68081e-02;7.53749e-03;6.63816e-02
6.00000e+06;6.95767e-02;7.61356e-03;6.91589e-02
6.10000e+06;7.23393e-02;7.69974e-03;7.19284e-02
6.20000e+06;7.50987e-02;7.79787e-03;7.46927e-02
6.30000e+06;7.78574e-02;7.91017e-03;7.74546e-02
6.40000e+06;8.06185e-02;8.03932e-03;8.02166e-02
6.50000e+06;8.33848e-02;8.18856e-03;8.29817e-02
6.60000e+06;8.61593e-02;8.36185e-03;8.57526e-02
6.70000e+06;8.89451e-02;8.56403e-03;8.85319e-02
6.80000e+06;9.17453e-02;8.80102e-03;9.13222e-02
6.90000e+06;9.45626e-02;9.08010e-03;9.41256e-02
7.00000e+06;9.73994e-02;9.41021e-03;9.69438e-02
7.10000e+06;1.00258e-01;9.80227e-03;9.97773e-02
7.20000e+06;1.03137e-01;1.02696e-02;1.02625e-01
7.30000e+06;1.06037e-01;1.08283e-02;1.05483e-01
7.40000e+06;1.08951e-01;1.14972e-02;1.08343e-01
7.50000e+06;1.11869e-01;1.22980e-02;1.11191e-01
7.60000e+06;1.14772e-01;1.32539e-02;1.14004e-01
7.70000e+06;1.17630e-01;1.43869e-02;1.16747e-01
7.80000e+06;1.20399e-01;1.57127e-02;1.19369e-01
7.90000e+06;1.23014e-01;1.72315e-02;1.21802e-01
8.00000e+06;1.25399e-01;1.89153e-02;1.23964e-01
8.10000e+06;1.27467e-01;2.06944e-02;1.25776e-01
8.20000e+06;1.29149e-01;2.24511e-02;1.27183e-01
8.30000e+06;1.30424e-01;2.40336e-02;1.28191e-01
