#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-20 08:47:23;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.00000e+06;1.50503e+00;1.21465e-02;-1.50498e+00
1.10000e+06;1.36193e+00;1.21107e-02;-1.36188e+00
1.20000e+06;1.24214e+00;1.20892e-02;-1.24208e+00
1.30000e+06;1.14028e+00;1.20783e-02;-1.14021e+00
1.40000e+06;1.05250e+00;1.20756e-02;-1.05244e+00
1.50000e+06;9.76004e-01;1.20792e-02;-9.75929e-01
1.60000e+06;9.08662e-01;1.20878e-02;-9.08581e-01
1.70000e+06;8.48862e-01;1.21004e-02;-8.48775e-01
1.80000e+06;7.95347e-01;1.21162e-02;-7.95254e-01
1.90000e+06;7.47125e-01;1.21346e-02;-7.47026e-01
2.00000e+06;7.03402e-01;1.21551e-02;-7.03297e-01
2.10000e+06;6.63535e-01;1.21774e-02;-6.63423e-01
2.20000e+06;6.26999e-01;1.22011e-02;-6.26880e-01
2.30000e+06;5.93358e-01;1.22261e-02;-5.93233e-01
2.40000e+06;5.62252e-01;1.22520e-02;-5.62119e-01
2.50000e+06;5.33376e-01;1.22789e-02;-5.33235e-01
2.60000e+06;5.06473e-01;1.23064e-02;-5.06323e-01
2.70000e+06;4.81322e-01;1.23346e-02;-4.81164e-01
2.80000e+06;4.57738e-01;1.23633e-02;-4.57571e-01
2.90000e+06;4.35557e-01;1.23925e-02;-4.35381e-01
3.00000e+06;4.14639e-01;1.24220e-02;-4.14453e-01
3.10000e+06;3.94863e-01;1.24519e-02;-3.94666e-01
3.20000e+06;3.76120e-01;1.24820e-02;-3.75913e-01
3.30000e+06;3.58318e-01;1.25125e-02;-3.58099e-01
3.40000e+06;3.41372e-01;1.25431e-02;-3.41142e-01
3.50000e+06;3.25210e-01;1.25739e-02;-3.24967e-01
3.60000e+06;3.09767e-01;1.26049e-02;-3.09511e-01
3.70000e+06;2.94984e-01;1.26360e-02;-2.94713e-01
3.80000e+06;2.80809e-01;1.26673e-02;-2.80523e-01
3.90000e+06;2.67195e-01;1.26987e-02;-2.66893e-01
4.00000e+06;2.54100e-01;1.27301e-02;-2.53781e-01
4.10000e+06;2.41487e-01;1.27617e-02;-2.41150e-01
4.20000e+06;2.29322e-01;1.27934e-02;-2.28964e-01
4.30000e+06;2.17572e-01;1.28251e-02;-2.17194e-01
4.40000e+06;2.06210e-01;1.28569e-02;-2.05809e-01
4.50000e+06;1.95211e-01;1.28888e-02;-1.94785e-01
4.60000e+06;1.84550e-01;1.29208e-02;-1.84097e-01
4.70000e+06;1.74207e-01;1.29528e-02;-1.73725e-01
4.80000e+06;1.64162e-01;1.29849e-02;-1.63648e-01
4.90000e+06;1.54398e-01;1.30170e-02;-1.53848e-01
5.00000e+06;1.44898e-01;1.30492e-02;-1.44309e-01
5.10000e+06;1.35647e-01;1.30815e-02;-1.35015e-01
5.20000e+06;1.26632e-01;1.31138e-02;-1.25951e-01
5.30000e+06;1.17841e-01;1.31462e-02;-1.17105e-01
5.40000e+06;1.09262e-01;1.31786e-02;-1.08464e-01
