#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-20 08:47:23;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
1.00000e+06;1.50411e+00;1.22029e-02;-1.50406e+00
1.10000e+06;1.36091e+00;1.21698e-02;-1.36086e+00
1.20000e+06;1.24103e+00;1.21509e-02;-1.24097e+00
1.30000e+06;1.13908e+00;1.21426e-02;-1.13902e+00
1.40000e+06;1.05122e+00;1.21424e-02;-1.05115e+00
1.50000e+06;9.74630e-01;1.21484e-02;-9.74554e-01
1.60000e+06;9.07198e-01;1.21594e-02;-9.07116e-01
1.70000e+06;8.47308e-01;1.21742e-02;-8.47221e-01
1.80000e+06;7.93704e-01;1.21922e-02;-7.93610e-01
1.90000e+06;7.45392e-01;1.22128e-02;-7.45292e-01
2.00000e+06;7.01580e-01;1.22354e-02;-7.01473e-01
2.10000e+06;6.61623e-01;1.22598e-02;-6.61510e-01
2.20000e+06;6.24997e-01;1.22856e-02;-6.24877e-01
2.30000e+06;5.91267e-01;1.23126e-02;-5.91139e-01
2.40000e+06;5.60071e-01;1.23406e-02;-5.59935e-01
2.50000e+06;5.31105e-01;1.23694e-02;-5.30961e-01
2.60000e+06;5.04112e-01;1.23989e-02;-5.03960e-01
2.70000e+06;4.78872e-01;1.24291e-02;-4.78711e-01
2.80000e+06;4.55198e-01;1.24597e-02;-4.55027e-01
2.90000e+06;4.32927e-01;1.24908e-02;-4.32746e-01
3.00000e+06;4.11919e-01;1.25222e-02;-4.11728e-01
3.10000e+06;3.92052e-01;1.25540e-02;-3.91851e-01
3.20000e+06;3.73219e-01;1.25860e-02;-3.73007e-01
3.30000e+06;3.55326e-01;1.26183e-02;-3.55102e-01
3.40000e+06;3.38290e-01;1.26508e-02;-3.38054e-01
3.50000e+06;3.22038e-01;1.26835e-02;-3.21788e-01
3.60000e+06;3.06504e-01;1.27163e-02;-3.06240e-01
3.70000e+06;2.91630e-01;1.27493e-02;-2.91351e-01
3.80000e+06;2.77364e-01;1.27825e-02;-2.77069e-01
3.90000e+06;2.63660e-01;1.28157e-02;-2.63348e-01
4.00000e+06;2.50474e-01;1.28490e-02;-2.50144e-01
4.10000e+06;2.37770e-01;1.28825e-02;-2.37421e-01
4.20000e+06;2.25514e-01;1.29160e-02;-2.25143e-01
4.30000e+06;2.13673e-01;1.29496e-02;-2.13280e-01
4.40000e+06;2.02220e-01;1.29833e-02;-2.01803e-01
4.50000e+06;1.91130e-01;1.30170e-02;-1.90686e-01
4.60000e+06;1.80378e-01;1.30508e-02;-1.79905e-01
4.70000e+06;1.69944e-01;1.30847e-02;-1.69440e-01
4.80000e+06;1.59809e-01;1.31187e-02;-1.59270e-01
4.90000e+06;1.49954e-01;1.31527e-02;-1.49376e-01
5.00000e+06;1.40364e-01;1.31868e-02;-1.39743e-01
5.10000e+06;1.31024e-01;1.32210e-02;-1.30355e-01
5.20000e+06;1.21920e-01;1.32552e-02;-1.21197e-01
5.30000e+06;1.13041e-01;1.32895e-02;-1.12257e-01
5.40000e+06;1.04376e-01;1.33239e-02;-1.03522e-01
5.50000e+06;9.59150e-02;1.33583e-02;-9.49802e-02
5.60000e+06;8.76513e-02;1.33928e-02;-8.66221e-02
5.70000e+06;7.95785e-02;1.34274e-02;-7.84375e-02
5.80000e+06;7.16926e-02;1.34621e-02;-7.04173e-02
5.90000e+06;6.39926e-02;1.34968e-02;-6.25531e-02
6.00000e+06;5.64817e-02;1.35317e-02;-5.48368e-02
6.10000e+06;4.91698e-02;1.35666e-02;-4.72611e-02
6.20000e+06;4.20780e-02;1.36016e-02;-3.98191e-02
6.30000e+06;3.52488e-02;1.36367e-02;-3.25042e-02
6.40000e+06;2.87668e-02;1.36719e-02;-2.53103e-02
6.50000e+06;2.28097e-02;1.37071e-02;-1.82318e-02
6.60000e+06;1.77684e-02;1.37425e-02;-1.12631e-02
6.70000e+06;1.44633e-02;1.37780e-02;-4.39940e-03
6.80000e+06;1.40145e-02;1.38136e-02;2.36423e-03
6.90000e+06;1.65344e-02;1.38493e-02;9.03225e-03
7.00000e+06;2.08910e-02;1.38851e-02;1.56089e-02
7.10000e+06;2.61175e-02;1.39211e-02;2.20981e-02
7.20000e+06;3.17375e-02;1.39571e-02;2.85038e-02
7.30000e+06;3.75354e-02;1.39933e-02;3.48295e-02
7.40000e+06;4.34082e-02;1.40296e-02;4.10785e-02
7.50000e+06;4.93032e-02;1.40660e-02;4.72541e-02
7.60000e+06;5.51915e-02;1.41026e-02;5.33593e-02
7.70000e+06;6.10568e-02;1.41393e-02;5.93971e-02
7.80000e+06;6.68895e-02;1.41762e-02;6.53700e-02
7.90000e+06;7.26841e-02;1.42131e-02;7.12809e-02
8.00000e+06;7.84374e-02;1.42503e-02;7.71320e-02
8.10000e+06;8.41477e-02;1.42876e-02;8.29259e-02
8.20000e+06;8.98144e-02;1.43250e-02;8.86646e-02
8.30000e+06;9.54374e-02;1.43626e-02;9.43505e-02
8.40000e+06;1.01017e-01;1.44004e-02;9.99854e-02
8.50000e+06;1.06554e-01;1.44383e-02;1.05571e-01
8.60000e+06;1.12049e-01;1.44764e-02;1.11110e-01
8.70000e+06;1.17504e-01;1.45147e-02;1.16604e-01
8.80000e+06;1.22918e-01;1.45531e-02;1.22054e-01
8.90000e+06;1.28294e-01;1.45917e-02;1.27462e-01
9.00000e+06;1.33633e-01;1.46305e-02;1.32829e-01
9.10000e+06;1.38934e-01;1.46695e-02;1.38158e-01
9.20000e+06;1.44201e-01;1.47087e-02;1.43449e-01
9.30000e+06;1.49433e-01;1.47481e-02;1.48704e-01
9.40000e+06;1.54632e-01;1.47876e-02;1.53924e-01
9.50000e+06;1.59799e-01;1.48274e-02;1.59110e-01
9.60000e+06;1.64935e-01;1.48674e-02;1.64264e-01
9.70000e+06;1.70041e-01;1.49076e-02;1.69386e-01
9.80000e+06;1.75118e-01;1.49480e-02;1.74479e-01
9.90000e+06;1.80167e-01;1.49886e-02;1.79542e-01
1.00000e+07;1.85189e-01;1.50295e-02;1.84578e-01
