iteration,state,rewards,count
742,[0 0 0 0 0 1 0 0 1 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",6
759,[1 0 1 1 0 0 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",17
772,[0 0 0 1 1 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",13
774,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
786,[0 0 0 0 1 0 1 0 0 0 1 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",12
800,[0 0 1 0 1 0 1 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",14
824,[0 1 0 0 0 0 1 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",24
836,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",12
879,[0 0 0 1 0 0 0 0 1 1 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",43
883,[0 0 0 0 0 1 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",4
893,[0 0 0 1 1 0 0 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",10
908,[0 1 1 1 0 0 0 0 1 0 1 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",15
917,[0 0 0 1 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",9
927,[0 0 1 0 0 1 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",10
931,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
933,[0 0 0 1 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
952,[0 1 0 0 0 0 0 0 1 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",19
962,[0 0 1 0 0 0 0 0 0 1 1 0],"{0: '7.5', 1: '7.5'}",10
964,[0 0 1 0 0 0 0 0 0 1 1 0],"{0: '7.5', 1: '7.5'}",2
991,[0 0 0 1 0 1 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",27
1002,[0 1 0 1 0 0 1 1 0 0 1 1],"{0: '5.0', 1: '5.0'}",11
1009,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.5', 1: '7.5'}",7
1038,[0 1 1 1 0 0 0 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",29
1058,[0 1 0 1 0 0 1 1 0 0 1 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",20
1061,[1 0 0 1 0 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
1093,[0 0 0 0 1 0 1 0 1 1 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",32
1115,[0 0 0 0 1 0 0 0 1 1 1 1],"{0: '5.843804537521816', 1: '5.833333333333334'}",22
1127,[0 0 0 0 1 0 0 0 1 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",12
1151,[0 0 0 0 1 0 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",24
1159,[0 1 0 0 0 0 1 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",8
1194,[1 1 1 0 0 0 1 1 0 0 1 0],"{0: '5.0', 1: '5.0'}",35
1217,[0 0 1 0 1 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",23
1229,[0 0 0 0 0 1 0 0 0 0 1 1],"{0: '7.5', 1: '7.5'}",12
1237,[1 1 0 0 0 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",8
1242,[0 0 0 0 0 0 1 0 1 0 1 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",5
1266,[1 0 0 0 0 0 0 0 1 1 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",24
1278,[0 0 0 0 0 0 1 0 0 1 1 0],"{0: '7.5', 1: '7.5'}",12
1294,[0 1 0 1 0 1 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",16
1311,[0 0 1 0 0 0 0 0 1 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",17
1327,[1 1 0 0 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",16
1346,[1 0 0 0 0 0 1 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",19
1355,[0 0 0 1 0 1 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",9
1412,[0 1 0 0 0 1 1 1 1 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",57
1423,[0 1 1 0 0 0 0 1 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",11
1446,[1 0 0 0 0 1 1 1 0 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",23
1475,[0 0 0 0 0 1 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",29
1486,[0 0 1 0 0 0 0 1 1 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",11
1502,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",16
1518,[0 0 0 0 0 0 0 1 1 1 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",16
1524,[0 0 0 0 0 1 0 0 0 0 1 1],"{0: '7.5', 1: '7.5'}",6
1535,[1 0 0 1 0 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",11
1553,[0 0 1 0 0 0 0 0 1 0 1 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",18
1572,[1 0 0 0 0 0 0 0 0 1 1 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",19
1598,[1 0 1 1 0 0 0 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",26
1603,[0 0 0 1 0 0 0 0 0 1 1 0],"{0: '7.5', 1: '7.5'}",5
1615,[0 0 1 0 1 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",12
1620,[1 0 1 0 0 1 0 1 0 0 1 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",5
1636,[0 0 1 0 0 1 1 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",16
1661,[1 1 0 0 1 1 0 0 0 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",25
1675,[0 0 1 0 0 1 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",14
1706,[0 0 1 1 0 1 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",31
1721,[1 1 0 0 0 0 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",15
1729,[1 0 0 1 0 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",8
1741,[0 0 0 1 0 1 0 0 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",12
1746,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",5
1749,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
1762,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",13
1797,[0 0 0 0 0 0 1 0 1 1 1 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",35
1810,[0 0 1 1 0 0 1 1 0 0 1 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",13
1827,[0 0 0 1 0 1 0 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",17
1843,[0 0 0 1 0 0 0 1 1 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",16
1856,[0 1 0 0 1 0 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",13
1858,[0 0 0 0 0 0 1 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
1872,[1 0 0 0 0 0 0 1 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",14
1889,[1 0 0 0 0 0 0 1 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",17
1907,[0 0 0 1 0 0 1 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",18
1945,[0 1 0 1 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",38
1952,[0 1 1 0 0 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",7
1981,[0 0 1 1 0 0 1 1 0 0 1 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",29
1994,[0 0 0 0 1 1 0 0 0 0 1 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
2004,[0 0 0 0 0 0 1 1 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",10
2038,[1 1 0 0 0 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",34
2049,[0 0 0 1 0 0 0 0 1 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",11
2058,[0 0 0 1 0 0 0 0 0 1 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",9
2075,[1 0 0 1 0 1 1 0 0 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",17
2088,[0 0 0 1 0 0 0 0 1 0 1 0],"{0: '7.5', 1: '7.5'}",13
2094,[0 1 1 0 0 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",6
2123,[0 1 0 0 1 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",29
2131,[1 0 0 1 1 0 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",8
2139,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",8
2151,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.5', 1: '7.5'}",12
2158,[0 0 1 1 0 0 0 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",7
2180,[1 0 0 0 0 0 0 1 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",22
2202,[0 0 1 0 1 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",22
2214,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",12
2250,[1 0 1 0 0 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",36
2288,[0 0 1 0 0 1 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",38
2316,[1 0 0 0 0 1 0 1 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",28
2324,[1 0 0 0 0 0 0 0 0 0 1 1],"{0: '7.5', 1: '7.5'}",8
2344,[0 1 0 1 0 0 0 0 1 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",20
2349,[0 0 0 0 0 0 0 1 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",5
2361,[0 0 1 0 0 0 0 1 1 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",12
2396,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",35
