iteration,state,rewards,count
120,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
123,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
138,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",15
146,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
149,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
154,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
156,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
157,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
160,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
164,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
168,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
175,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
179,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
181,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
183,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
188,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
190,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
210,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",20
221,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",11
235,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",14
236,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
240,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
247,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
252,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
256,[0 1 0 0 0 0 1 0 0 0 0 1],"{0: '1.5104712041884816', 1: '1.5'}",4
261,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
264,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
279,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",15
280,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
281,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
293,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",12
296,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
299,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
306,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
310,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
314,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
336,[0 1 0 0 0 0 1 1 0 0 0 0],"{0: '1.5104712041884816', 1: '1.5'}",22
337,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
346,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",9
350,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
356,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",6
357,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
369,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",12
370,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
378,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
380,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
382,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
387,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
390,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
397,[0 0 0 0 0 0 1 0 0 1 1 0],"{0: '1.5104712041884816', 1: '1.5'}",7
400,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
422,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",22
425,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
429,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
436,[0 0 0 0 0 0 1 0 0 1 1 0],"{0: '1.5104712041884816', 1: '1.5'}",7
437,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
439,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
444,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
450,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",6
455,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
469,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",14
478,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",9
486,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
488,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
489,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
490,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
493,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
498,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
503,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
504,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
505,[0 0 0 0 0 0 0 0 0 0 1 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
536,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",31
551,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",15
