iteration,state,rewards,count
863,[0 1 0 0 0 0 0 1 0 1 0 0],"{0: '7.5', 1: '7.5'}",4
875,[0 1 0 1 0 1 1 0 0 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",12
920,[0 1 0 1 1 1 0 0 0 1 0 0],"{0: '5.854275741710297', 1: '5.833333333333334'}",45
933,[0 1 1 0 0 0 1 1 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",13
952,[0 1 0 1 1 0 1 0 0 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",19
959,[0 1 0 1 0 1 0 0 0 0 0 0],"{0: '7.515706806282722', 1: '7.5'}",7
972,[0 1 0 0 0 0 0 1 0 1 0 0],"{0: '7.515706806282722', 1: '7.5'}",13
976,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",4
986,[0 1 0 1 1 0 1 0 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",10
1023,[0 1 0 0 1 1 0 0 0 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",37
1055,[0 1 0 0 0 0 1 1 1 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",32
1060,[0 1 0 0 0 1 0 1 0 0 0 0],"{0: '7.5', 1: '7.5'}",5
1069,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.520942408376963', 1: '7.5'}",9
1085,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",16
1092,[0 1 1 0 1 0 0 0 0 1 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",7
1107,[0 1 1 1 0 0 1 0 0 0 0 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",15
1113,[0 1 1 0 0 0 0 1 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",6
1185,[0 1 0 0 1 1 1 0 0 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",72
1202,[0 1 1 0 0 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",17
1230,[0 1 0 1 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",28
1239,[1 1 0 0 0 0 0 1 0 0 0 0],"{0: '7.515706806282722', 1: '7.5'}",9
1254,[0 1 0 0 0 0 1 0 0 1 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",15
1265,[0 1 0 0 1 0 0 1 0 0 0 0],"{0: '7.5', 1: '7.5'}",11
1278,[1 1 0 0 0 1 0 0 0 1 0 1],"{0: '5.854275741710297', 1: '5.833333333333334'}",13
1302,[0 1 0 0 0 1 1 0 1 0 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",24
1319,[0 1 0 0 0 0 1 1 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",17
1326,[0 1 0 0 1 0 0 0 1 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",7
1358,[0 1 0 0 0 0 0 1 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",32
1360,[1 1 0 1 0 0 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
1365,[0 1 0 0 0 1 0 1 0 0 0 0],"{0: '7.5', 1: '7.5'}",5
