iteration,state,rewards,count
670,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",8
679,[1 0 0 0 1 1 0 0 0 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",9
724,[0 0 0 1 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",45
737,[0 0 1 0 1 0 1 0 1 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
754,[0 1 1 0 1 0 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",17
765,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.515706806282722', 1: '7.5'}",11
794,[1 0 0 0 1 1 0 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",29
812,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",18
825,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",13
836,[1 0 1 0 1 0 1 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",11
854,[0 1 1 0 1 0 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",18
875,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",21
883,[0 0 0 0 1 0 1 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",8
895,[0 0 0 0 1 1 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",12
901,[0 1 0 1 1 0 0 0 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",6
911,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",10
924,[0 0 0 0 1 0 1 0 0 1 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
933,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",9
942,[0 0 0 0 1 0 1 1 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",9
967,[0 1 0 0 1 0 0 1 0 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",25
971,[0 1 0 0 1 0 0 1 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",4
984,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.515706806282722', 1: '7.5'}",13
994,[0 0 0 1 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",10
1008,[0 0 1 0 1 1 0 0 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",14
1009,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
1018,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",9
1025,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",7
1040,[0 0 0 1 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",15
1059,[1 0 0 0 1 0 0 0 0 0 0 1],"{0: '7.515706806282722', 1: '7.5'}",19
1094,[1 0 0 0 1 0 0 0 1 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",35
1103,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",9
1110,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",7
1119,[0 0 0 0 1 1 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",9
1128,[0 0 0 0 1 0 0 0 0 1 0 1],"{0: '7.510471204188482', 1: '7.5'}",9
1150,[1 1 0 1 1 1 0 1 0 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",22
1159,[0 0 1 0 1 1 0 0 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",9
1192,[1 1 0 1 1 0 0 0 1 0 0 0],"{0: '5.843804537521816', 1: '5.833333333333334'}",33
1210,[0 0 1 0 1 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",18
1233,[0 1 0 0 1 0 0 1 0 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",23
1273,[0 0 0 0 1 0 1 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",40
1303,[0 0 0 1 1 1 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",30
1311,[0 0 1 0 1 1 0 0 0 1 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",8
1319,[0 0 0 0 1 0 0 0 0 1 0 1],"{0: '7.5', 1: '7.5'}",8
1343,[1 0 0 1 1 0 1 0 1 0 0 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",24
1369,[0 0 0 0 1 0 0 0 0 1 0 1],"{0: '7.5', 1: '7.5'}",26
1394,[0 0 0 0 1 1 0 0 0 0 1 0],"{0: '7.505235602094241', 1: '7.5'}",25
1411,[0 0 1 0 1 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",17
1416,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.515706806282722', 1: '7.5'}",5
1424,[0 0 0 0 1 0 0 1 1 0 0 0],"{0: '7.5', 1: '7.5'}",8
1434,[0 0 0 0 1 0 0 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",10
1443,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",9
1460,[0 0 1 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",17
1466,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",6
1496,[0 0 1 0 1 0 1 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",30
1504,[0 0 0 1 1 1 0 0 1 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",8
1521,[0 1 0 0 1 0 1 0 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",17
1536,[0 1 1 0 1 0 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",15
1546,[0 0 0 1 1 0 1 0 1 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",10
1573,[1 0 0 1 1 0 1 0 0 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",27
1586,[1 0 0 0 1 0 0 1 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
1594,[0 1 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",8
1605,[0 0 1 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",11
1606,[0 0 0 0 1 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
1618,[0 0 0 0 1 1 0 0 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",12
1622,[0 0 0 0 1 1 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",4
1654,[0 0 0 0 1 0 0 1 1 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",32
1665,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",11
1692,[0 1 0 0 1 0 0 1 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",27
1702,[0 0 1 1 1 0 1 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",10
1722,[0 0 0 1 1 0 0 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",20
1735,[0 0 0 0 1 0 0 0 0 1 0 1],"{0: '7.5', 1: '7.5'}",13
1744,[1 0 0 0 1 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",9
1750,[0 1 0 0 1 0 1 0 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",6
1772,[1 0 0 0 1 0 0 0 1 1 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",22
1789,[0 1 0 1 1 0 1 0 0 0 0 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",17
1792,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
1797,[0 0 0 0 1 1 1 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",5
1803,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",6
1827,[0 1 0 0 1 0 1 0 1 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",24
1848,[0 0 0 1 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",21
1852,[0 1 0 1 1 0 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",4
1858,[0 0 0 0 1 0 0 1 0 0 0 1],"{0: '7.5', 1: '7.5'}",6
1884,[0 0 0 0 1 0 1 1 1 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",26
1918,[1 1 0 0 1 1 0 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",34
1933,[0 0 0 0 1 0 0 0 1 0 1 0],"{0: '7.5', 1: '7.5'}",15
1959,[0 0 1 1 1 1 0 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",26
1963,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",4
2002,[1 0 0 1 1 1 0 0 0 1 0 0],"{0: '5.843804537521816', 1: '5.833333333333334'}",39
2026,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",24
2031,[0 0 0 1 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",5
2034,[0 0 0 0 1 1 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
2069,[1 0 0 1 1 0 1 0 0 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",35
2075,[0 0 0 1 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",6
2082,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",7
2086,[0 0 1 1 1 0 0 0 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",4
2111,[0 1 0 0 1 0 0 1 0 1 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",25
2124,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",13
2152,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",28
2158,[0 0 0 0 1 0 0 0 1 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",6
2173,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",15
2190,[0 0 0 0 1 0 0 1 0 1 0 0],"{0: '7.505235602094241', 1: '7.5'}",17
2194,[0 0 1 0 1 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",4
2215,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",21
2227,[0 1 0 1 1 1 0 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",12
2230,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
2242,[0 0 0 0 1 1 0 0 0 1 0 0],"{0: '7.510471204188482', 1: '7.5'}",12
2254,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",12
2278,[0 1 1 0 1 0 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",24
2285,[0 0 0 1 1 1 0 0 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",7
2286,[0 0 0 0 1 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
2296,[0 0 0 0 1 0 0 0 1 1 0 0],"{0: '7.5', 1: '7.5'}",10
2301,[0 0 0 0 1 0 0 1 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",5
2317,[0 0 0 0 1 0 1 1 0 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",16
2326,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",9
2337,[0 0 0 0 1 0 0 1 1 0 0 0],"{0: '7.5', 1: '7.5'}",11
2343,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.505235602094241', 1: '7.5'}",6
2352,[0 0 0 0 1 0 0 1 0 1 0 0],"{0: '7.505235602094241', 1: '7.5'}",9
2378,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",26
2398,[0 0 0 1 1 0 0 1 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",20
2407,[0 1 0 0 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",9
2427,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",20
