iteration,state,rewards,count
398,[0 0 0 2 2 0 2 1],"{0: '4.181426814268143', 1: '4.166666666666667'}",14
408,[2 0 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",10
410,[0 0 0 2 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",2
411,[0 0 0 2 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
422,[0 0 0 2 0 0 1 0],"{0: '7.514760147601476', 1: '7.5'}",11
452,[0 0 0 2 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",30
454,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",2
464,[0 0 1 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",10
472,[0 0 0 2 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",8
474,[2 0 0 2 0 2 0 0],"{0: '5.014760147601476', 1: '5.0'}",2
477,[0 0 0 2 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",3
486,[0 0 0 2 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",9
495,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",9
510,[0 0 1 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",15
518,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",8
533,[0 0 0 2 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",15
536,[0 2 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",3
539,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
543,[2 0 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",4
552,[0 2 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",9
556,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",4
562,[0 0 2 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",6
576,[0 0 1 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",14
601,[0 0 1 0 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",25
609,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",8
639,[0 0 0 0 2 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",30
644,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",5
645,[0 0 0 1 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
664,[0 0 2 0 0 0 2 1],"{0: '5.84809348093481', 1: '5.833333333333334'}",19
680,[0 0 2 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",16
684,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
687,[0 1 2 0 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
696,[2 0 0 0 0 0 2 1],"{0: '5.925584255842559', 1: '5.833333333333334'}",9
713,[0 0 2 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",17
717,[0 0 0 1 0 0 2 0],"{0: '7.514760147601476', 1: '7.5'}",4
726,[0 0 0 0 0 0 2 1],"{0: '7.514760147601476', 1: '7.5'}",9
731,[0 0 2 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",5
733,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",2
736,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",3
739,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",3
746,[0 2 0 0 0 0 2 1],"{0: '5.84809348093481', 1: '5.833333333333334'}",7
749,[0 0 0 1 0 0 2 1],"{0: '6.681426814268142', 1: '6.666666666666666'}",3
754,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",5
760,[1 0 0 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",6
768,[0 2 0 0 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",8
786,[0 2 0 0 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",18
807,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",21
